第一次用OPPO的手机，它的照相功能看着还可以，到时候晚上再试一下吧。,相机功能多/强
第一次用Oppo的手机，感觉不错，特别是照相功能。,相机功能多/强
"第一次用OPPO手机,物流很快,2天就收到手机.收到手机后一眼就感觉很不错,黑色很高大上,运行顺畅不卡顿,拍照效果也杠杠的，外观很漂亮，拍照也很清晰，屏幕够大。一只手都拿不过来，看电视玩游戏都很爽，就是充电时没有呼吸灯",拍照效果好
"第一次用OPPO手机,物流很快,隔天就收到手机.收到手机后一眼就感觉很不错,黑色很高大上,运行顺畅不卡顿,拍照效果也杠杠的,唯一一点就是充电头不支持盲插,还要认准方向,在黑暗中不方便,希望能够改进,也希望我们国产品牌越做越好!",拍照效果好
第一次用OPPO手机，黑色版实物比照片更漂亮，手机也很好用，尤其是拍照效果，给好评，支持国货。,拍照效果好
第一次用oppo手机，买前，最吸引人的是其超酷的外观，真心感觉惊艳！特意用了两天，拍照效果一流，前摄像头像素很清晰，操作系统正在熟悉中，挺满意的。,拍照效果好
第一次用OPPO手机，没让我失望，反应很快，拍照也好，充电快，也用得久，放歌声音也很好，哈哈，我真不是托的?总之挺满意的,拍照效果好
"第一次用OPPO手机,物流很快,三天就收到手机.收到手机后一眼就感觉很不错,黑色很高大上,运行顺畅不卡顿,拍照效果也杠杠的,唯一一点就是充电头不支持盲插,还要认准方向,在黑暗中不方便,希望能够改进,也希望我们国产品牌越做越好!",拍照效果好
"第一次用OPPO手机,物流很快,三天就收到手机.收到手机后一眼就感觉很不错,玫瑰金色很高大上,运行顺畅不卡顿,拍照效果也杠杠的,唯一一点就是充电头不支持盲插,还要认准方向,在黑暗中不方便,希望能够改进,也希望我们国产品牌越做越好!",拍照效果好
刚刚到手，还不错，第一次用OP感觉照片效果可以，声音也比较大。不卡顿，电量用了3天还有电，蛮好的！红色的喜庆！看着就舒服，看以后时间长了，要是以后还是如此那就完美了！有些功能还在摸索。还算对得起这个价格吧！点个赞！,拍照效果好
第一次在苏宁易购买手机，客服的服务还是比较到位的，oopo r9s 两天体验下来还是比较不错的，拍照和充电比较以前手机要好很多，物流也很快中途，中途有一些小插曲客服也解决了，整体来看毕竟满意的！,拍照效果好
用了几天才来评价的，第一次在京东买东西，物流超快，这款手机功能强大呀！拍照听音乐都超级棒的，我特别喜欢那个指纹解锁，一秒解锁，手机运行很快，里面的功能都很好，喜欢的赶紧下手吧，很好的一部手机，下面是我用这台手机拍的照片，有没有比百度里的图片好看,拍照效果好
挺不错的，手机很好用，电池比较耐用，和苹果差不多吧，拍照也特别好，店家送了很多小礼物哦，喜欢的亲可以购买,拍照效果好
手机收到用了几天，电池非常耐用，充电特别快，手机音质好，自拍效果超级棒，值得购买。,拍照效果好
电池很抗用 续航能力超强 完美 快 就一个字 清晰 美颜很酷 可以 服务还行,美颜效果好
电池挺耐用的，虽然是送朋友的，但是朋友反应是充电快，电力持久，第一次买oppo手机，真的很不错 拍照效果也很好，很清晰，还有很多拍照功能，满足少女们的拍照需求 音质也很好，听歌什么的效果很不错 信号接收也挺好的，用了新手机，感觉比旧手机出现没信号的几率少了很多，因为学校宿舍经常信号不好 操作也很方便，功能设计的很人性化 这里尤其要感谢一下（首佳誉数码专营店：豌小豆 ）这位客服，咨询回复速度很快，也很专业，根本不用我等，给人很亲切的感觉，第一次因为一位客服而喜欢上一家店。还要感谢店家，送了我好多赠品登山包VR手表充电宝,拍照效果好
拍照效果很好，速度很快，电池也很耐用,拍照效果好
电话非常好，用着很方便，网速非常快，分辨率很好，照相很漂亮呦。,拍照效果好
电话用了！挺好的！一直用oppo感觉拍照很好看！以后还会关注oppo手机！赠品如果给充电宝就好了网页开了很多一点都不卡！,拍照效果好
宝贝不错很好用，电量非常够用，打打电话可以用两天吧，可以用两年就好，很好很好很好。拍照也不错。总体来说可以的。,拍照效果好
非常好的手机 物流非常快 运行很快 电量也够用 充电也飞一样 拍照也没得说 客服态度非常好 耐心 用了一周来评价有点晚了 正品 非常好用,拍照效果好
手机非常不错，电能用1-2天，音质非常好。拍照很好，送了很多东西哦,拍照效果好
店家服务还行，手机拍照也不错，声音也还好，比较大声，音质也可以，外观看起来也蛮好，手机拿在手上感觉不错轻薄，指纹解锁也很灵敏，一触立刻解开，密码解锁也行，运行也挺快，触摸也很灵敏，滑动很顺畅没有卡顿，就是按键不能按，店家没有说，触摸没得音的，只有震动，也算是一个满意购机吧。,拍照效果好
店家服务信誉好！正品行货。质量可靠！十分好用！照相效果好！一次满意的网购，全5分好评！,拍照效果好
东西非常不错，用起来非常流畅，比移动的专门定制机要好的多，自己使用起来得心应手，非常感谢。拍照也非常完美,拍照效果好
东西非常好，尤其是拍照，简直就是女人的神器,拍照效果好
东西还可以，指纹解锁很快，拍照也挺好,拍照效果好
东西三天就到了，手机是正品，照相杠杠滴，赠品多，质量好，电池太好用了，支持国货，太棒了!,拍照效果好
物流给力，东西收到是正品。手机手感不错，外观很漂亮，手机速度很快，拍照效果杠杠的，充电速度非常快，还送了不少礼品，客服也很好，总之是一次非常满意的购物！,拍照效果好
东西着实一般，还主打照相功能，拍的照片放大了很模糊，差评！,拍照模糊/不清晰
都说OPPO音质很好 果然没让我失望 电池很给力啊 开游戏半个小时才去了1%的电量 充电5分钟通话2小时，听起来很夸张但是1个多小时还是可以的 信号可以但是在电梯或者地下室里暂时还没试过 摄像头很清晰，照片效果不错 快递很满意，就是客服能回话更快点就好了,拍照效果好
非常好，对于以前用杂牌3G手机的我来说，换这手机简直是质的飞跃！感觉科技好发达啊什么都随手可得太方便了。照相功能也很好，手边有相机也懒得拿出来了，手机拍出来的效果也很棒！ 很好，去玩拍了一天回来还有一半的电。充电也超快。 挺好的。 客服不错，回应快有问必答态度好。,相机功能多/强
非常好，对于以前用杂牌3G手机的我来说，换这手机简直是质的飞跃！感觉科技好发达啊什么都随手可得太方便了。照相功能也很好，手边有相机也懒得拿出来了，手机拍出来的效果也很棒！ 很好，去玩拍了一天回来还有一半的电。充电也超快。 挺好的。 客服不错，回应快有问必答态度好。,拍照效果好
这款手机非常好用，而且包装什么的都非常的精美，嗯画质很好，拍照片也很好看应该是正品。唯一不好的就是没有碎屏险，只好时时刻刻小心喽,拍照效果好
发货超级速度，晚上7点多下的单，10点半就发货，第二天下午就收到手机了。6寸大屏玩游戏不要太爽。拍照效果也很好。,拍照效果好
发货很迅速，包装非常好看，还有赠品，嘻嘻。对于手机，我觉得拍照，听音乐，玩游戏都ok的，玩王者也不卡，大红的颜色非常喜庆，过年就要红红火火！！！,拍照效果好
帮同事买的，反馈很不错，手机使用流畅，很好，拍照质量和音质都不错，很喜欢！！！,拍照效果好
用了几天才来评论反馈的 只能说不是一般的好 很多功能 灵敏度一点都不比iPhone差 拍照音质都是非常棒～大爱,拍照效果好
反应好快。非常好用，特别耐电X。拍照很好看哦,拍照效果好
手机很漂亮 功能强大 反应神速 照相功能强大 卖家送了好多礼品 我是整点抢购的 还得到了一个32G的内存卡 最满意的一次购物,相机功能多/强
东西收到了。反应手感都棒棒哒，一直用的oppo手机照相美美哒，快递也是杠杠的。客服也很耐心热情解答。,拍照效果好
还不错，拍照效果很好，反应也不慢,拍照效果好
速度很快，反正感觉很好，拍照也好。就是好！支持国货,拍照效果好
非常不错的手机，超薄，而且照相特别好，功能很强大,拍照效果好
非常不错的手机，拍照效果非常好，很清晰！支持国货，希望继续前进。买苹果的粉们，会变成你的粉！,拍照效果好
非常非常喜欢，我特意用了10几天才来评论，速度快，拍照功能强大，玩游戏快，听音乐好。,相机功能多/强
帮同事买的，非常值得推荐。性能强大，拍照更是爽到爆。前后都是1600万。以后再追加,拍照效果好
非常大气，照相也棒，喜欢。,拍照效果好
非常的强大，充电快的无法想象，40分钟充满。音质超级好，拍照也特强，流畅性也很好，其他的性能还没特意测试,拍照效果好
非常激动 这是我用过的最好的手机 音质一如既往的好 拍照超乎想象 我是oppo粉丝 祝福oppo越来越好！,拍照效果好
非常炫酷，手机功能全，尤其是拍照功能强大，物流速度快，还送三件实用礼品，锦上添花。,相机功能多/强
用了几天，分享一下自己的体验，外观拍照还行，在一个地方玩，同样的腾讯大王卡，为毛苹果6s玩王者荣耀不卡，而oppo卡，这一点看的出手机的差距，还有就是玩王者荣耀，走点，方向触摸容易失灵，还要在点上去，才能移动，麻痹这样的话，我不被塔打死才怪！别说我技术不行，上两个赛季最强王者段位，另外一点就更严重，手机烫手，不知道为什么别 人手机就不烫手，我终于知道一分钱一分货了。,拍照效果好
封条是坏的，打开拿出手机后看见有一个头发，难道不是开过箱了吗？懒得退了，手机用着倒是没什么问题，拍照超赞的，系统运行也很流畅，续航比6sp时间长，黑色超赞的，在vivo x9和荣耀8三者之间犹豫了好久，最后还是买了r9s，挺满意的，6sp被偷了，不想再给老美交税了，支持国产,拍照效果好
服务，质量，快递都是一流的！拍摄效果也很好！都满意！！,拍照效果好
服务态度好，物流也很快，我买的黑色9s拍照好，指纹解锁很酷炫且快，运行也很顺畅，不存在卡的问题，送的东西也很给力，绝对正品,拍照效果好
发货很快哦，非常满意，感觉比r9plus快了许多，充电很快，耐用，拍照很牛，以前是苹果粉，接触OPPO后再不爱别的了，给爸爸妈妈也换了，他们很喜欢，么么哒～,拍照效果好
感觉功能好强大，个人比较喜欢黑色，看起来很霸气很酷，这里面要说功能最强大的当属拍照功能了哈哈，对这一次买手机很满意，建议OPPO粉可以买哦，我也是OPPO粉?,相机功能多/强
感觉功能好少，桌面小部件也很少，但是拍照真的很好很好。,拍照效果好
手机收到了，，感谢店主的小礼物，很用心， 照相非常清楚，脸上的毛孔都可以拍出来，美颜功能也很强大，闪充也特别快，呢屏幕比我的6p还要大，很是喜欢,美颜效果好
感谢送的小礼物 手机是正品哦 速度很快 拍照美美哒,拍照效果好
感谢洋洋，很有耐心，发货我很快，收到后很惊喜，充电速度特别快，适合我，充电时看视频机器都没有发热，而且快速就充好了，拍照效果很好，完全满足我充电快和拍照好看的两个需求，送的东西也还蛮好的，,拍照效果好
刚刚去超市试了一下拍照效果，效果很好，用了几天一点也不卡，快递很给力，第二天就到了。非常好，准备在入手一个给老公用,拍照效果好
刚好赶上过年活动12期免息，就买了，首先第一个感觉，比我用的iPhone6指纹解锁快很多，反应很灵敏。还有相机自带美颜功能，也很实用。还有64G的内存，比我原来16G的大很多，可以装很多软件都不用担心内存。还有，充电速度真心快，一会儿就充满了，充满之后可以玩一天，很耐用。现在看来，安卓机并不比苹果差。,相机功能多/强
刚开始使用，还在慢慢适应，拍照效果还不错,拍照效果好
刚试了一陈手感OK，拍照相当不错！就是摄像头突，，如不带套就有点小怕怕，搞花了摄像头,拍照效果好
快递挺快的，隔天就到了，见到手机满满的欢喜感，国产手机就是給力，而且手机的拍照功能很强大，拿在手里的感觉挺不错的，非常喜欢，绝对好评！,相机功能多/强
物流很快，隔天早上就收到了，手机一拿到手，手感很好，机身很漂亮，简直爱不释手，之前买苹果6都没那么惊喜，手机电池很耐用，用了一整天，上网，玩游戏，看电视，玩微信等玩了一天，电池量还有60%，而且充电很快，指纹解锁秒开，网页一点就开，还有音乐听歌有功放的效果，听起来很舒服，最满意的是照相功能，照的相很漂亮，很清晰，还有一点，是手机自带的书城软件，里面有各类书籍免费读，免费看。还附送了很多礼品，真是惊喜多多呀。真心推荐，值得信赖的卖家。,相机功能多/强
物流很快，隔天早上就收到了，手机一拿到手，手感很好，机身很漂亮，简直爱不释手，之前买苹果6都没那么惊喜，手机电池很耐用，用了一整天，上网，玩游戏，看电视，玩微信等玩了一天，电池量还有60%，而且充电很快，指纹解锁秒开，网页一点就开，还有音乐听歌有功放的效果，听起来很舒服，最满意的是照相功能，照的相很漂亮，很清晰，还有一点，是手机自带的书城软件，里面有各类书籍免费读，免费看。还附送了很多礼品，真是惊喜多多呀。真心推荐，值得信赖的卖家。 很满意,相机功能多/强
个人觉得还可以，我跟我的6p对比，感觉rs9流畅度和拍照都要好点！也许是我的6p配置有点老了，反应挺快 很喜欢,拍照效果好
手机收到了，好漂亮！个人觉得颜色浅粉浅粉的比苹果的淡，更好看！指纹解码速度好快，拍照也很好看！挺喜欢的，等用几天再来反馈！客服很耐心，礼品好多哦！好评好评！,拍照效果好
给老人买的，用的还不错，拍照功能很强大，还送了几个小礼品，不错，很满意,相机功能多/强
跟商家描述的基本一致，手机用着不错，只是快递包装太简单，里面一点防震填充物都没有，还好，手机包装完好，打开包装无损坏，国产机做工不错，如果非要找问题，只能说是手机空间只有54G不到，跟标称差了10，有点多。充电很快，一个小时能充满70%。一夜待机只消耗3%的电量，还不错。拍照效果还好，不上图了。两张4g卡都能上网，不过要简单设置一下。赠品原来是三个，下单时就变成两个了，店家真抠门，不过赠品质量很好，特别是Q9音箱，很喜欢。手机出厂贴膜和保护套很好，先用着没问题，不用换。不多说了，整体五分，谁用谁知道。,拍照效果好
手机很好，跟预期想的一样，用了一段时间，没有感觉到卡，拍照效果也不错，周边的朋友都觉得挺好的。,拍照效果好
功能挺好用，相片没苹果清晰,拍照模糊/不清晰
手机很好用，功能很好，美颜效果也非常好，玥玥服务也很好，总的来说非常漂亮，质感非常不错,美颜效果好
关注了很久才下的单，实在太失望了，用了几天，快充速度确实很快，这是唯一的优点，但是充得快也用得快……客服的态度差到极致，，这是所有的旗舰店最烂的客服，购买之前咨询时，隔了半天就截了个图让我自己看，，，现在遇到问题了联系他们，却开始踢气球，两个问题，一个是指纹解锁经常不灵，需要最后绘图才行，二是最严重的拍照！！！前置还行，后置的差得没话说，还没有我之前的荣耀4x拍得好，稍微放大一点点就模糊得不行，我联系客服说拍照不清晰，让我发图，我把原图发过去了，他们也看不清晰，就说我处理过图片，我的天啊，，，处理过没你不知道用软件检测一下吗？？这借口找得也太不负责任了吧？？？最后让我去售后开检测报告，路过奥德乐商场的时候看到到处都是这个型号的广告，就进去看了下，不对比不要紧，结果都一样的啊，，，，拍照后置的都太差了，而且优惠了300，，，瞬间无爱了，你做拍照手机能不能把专业的事做好？？订制的摄影头就这样？？低配高价都知道，贵300倒也无所谓，但是花这钱买这样的拍照手机，是不会有下次的了！！！！！哎！,拍照模糊/不清晰
广告上一眼看中这个颜色，出来马上买了，果然没有失望，太好看了。指纹解锁超级棒，快到有点接受不了。拍照功能果然强大，。很喜欢给自己的新年礼物，谢谢自己，今年一定好好生活。,相机功能多/强
国产机子虽然有模仿的地方，但是做的相当不错，拍照效果真心好，送给老婆的，颜值也很高，真的想把我的6换掉,拍照效果好
国产品牌手机从包装到质量的提升不是一般水平，0PP0R9s超、薄，朋友说它象苹果7，有过之无不及。照相效果介绍超好，本人尚未实践，朋友拆开后即刻用三星7对比，拍照画面清晰度色度亮度均好于三星7。苹果6s我实践过，虽然是800万象素但拍出的照片不是一般好，买国产机就是想pK一下苹果，苹果价格太离谱。京东发货超快24小时就收到机子，机子是京东自营也有保障。,拍照效果好
果然很强大的拍照手机，用下来感觉非常不错！,拍照效果好
这款手机果然属于颜值实力派，真的让人非常惊喜...外观设计简单大气，拍照效果果然应那句广告语，这一刻，更清晰，充电真是快，给现在年轻人提供了便利，值得赞...快递也超快，第一天买，第二天就到，还送赠品，五送三，我选的赠品是蓝牙音箱，蓝牙耳机还有运动臂包，价格给力，赠品也不错，希望大家都能选择这款国产手机，它不会让你失望...,拍照效果好
过年图个喜气，当看到oppo R9s 出新年红就毫不犹豫预定了一台，作为送给女朋友的新年礼物，先说说这手机优点吧 1.外观好看，颜值高，手机内置的新年红主题契合了当下这节日的主题，很应景，很拉轰 2.系统流畅，无卡顿，毕竟4g的运存摆在那里。 3.包装盒也是一大特色，包装的做工与手机的做工完美匹配， 4设计很贴心，手机出厂就贴了保护膜，这简直就是广大处女座的福音， 5，出厂的自带软件少，但常用软件却一个不缺，oppo还是充分的为消费者考虑的 6，手机摄像头像素高，大光圈 美颜效果好，这简直就是为自拍狂魔所准备的好么。 不足和难以忍受地方 1.后置摄像头居然是凸起的，考虑到大光圈和高像素，作为一个普通消费者其实还是可以接受 2指纹识是嵌入式的，与屏幕周边存在色差，后续的主流应该是盲孔一体式的指纹识别，oppo目前这点感觉有点跟不上小米和华为的节奏 3.11号订的货，15号才发过来，物流太慢了，而且14有货下单还能使用40的优惠券，这能忍？ 4.开箱指纹识别区域都是手指印？，这确定不是别人退货的产品，出厂测试不要清洁么？,美颜效果好
还好，还没用看着还好，觉得摄像头有点模糊,拍照模糊/不清晰
手机收到了，还送了好多礼品，物流很快三天就到了，手机很薄，照相效果很好！很喜欢！??,拍照效果好
手机非常好用还送了好多礼品和碎屏险真是超值，像素?。拍出来也美美哒。买了两部真是超级值棒棒哒,拍照效果好
手机非常好用还送了好多礼品和碎屏险真是超值，像素?。拍出来也美美哒。买了两部真是超级值棒棒哒,拍照效果好
非常不错，还有音响，缺点是没有NFC功能，这功能在大城市用处还是比较大的，快充速度很快，在室外不会因为冷，关机，拍照效果还不错,拍照效果好
还真快！ 流畅得很，速度快 目前信号比之前所用的手机都强些 不错，所送的音箱的音质也好 这个拍照效果真的好 不过手机上存有一些视频，不是我下载，不知这款机是自带的还是有人用过下载的，我现在犯嘀咕。若是二手机，我就得宣传一下了。,拍照效果好
好 很喜欢 照相效果很棒 64g内存完全够用 送的礼品也棒 祝京东全体客服 快递小伙新年快乐，万事如意。,拍照效果好
手机收到了好几天了 用了几天才评论 手机整体质感还是不错的 闪充很给力 拍照功能很强大 比我之前用的6S拍的还好 卖家送的红色的手机壳非常好看 我表姐都想跟我换 蓝牙音响也还可以 总之很好的一次网购,相机功能多/强
好用，冲着拍照功能来的，晚上看齐秦的演唱会拍的，做个参考,相机功能多/强
好用，美颜强大！漂亮外形,美颜效果好
好用，拍照功能强，快充技术强大，耗电不快,相机功能多/强
好用哒拍照效果也非常好新年快乐，嘎嘎喜欢的速度快样子也好看哒,拍照效果好
好用照相的效果不错???,拍照效果好
手机已收到，外观很好看，和苹果很像，用了差不多半个月了吧，功能都好用，充电确实快，和广告上说的差不多，照相功能也很好用，下面的照片是上次出去耍爬山拍的照片，像素很好?????,相机功能多/强
总的来说，嗯和我想象中的一样，像素不错，拍的效果就特别好。充一次电可以用两天。我很喜欢这款手机。,拍照效果好
和专卖店一样，不错，拍照也清晰美颜效果可好了，很喜欢,美颜效果好
黑色很漂亮，试用了几天才来评价的，没有以前用三星的卡顿现象，拍照效果也很棒，满意的购物，希望快点收到赠品！?,拍照效果好
黑色很好看，照相效果给力，待机时间还不错,拍照效果好
黑色很好看，质感很好，用着野很流畅，尤其拍照非常好,拍照效果好
黑色版的外观低调纯净，运行很快（中关村在线安卓客户端）优点：黑色，霸气，好看。我是oppo迷，从笑脸手机开始，水滴键手机，后来的的find7，然后去年用的r9plus，到现在的r9splus，我影响了周围很多朋友跟我一起买oppo，其实不为别的，拍照美，听歌音质好，游戏不卡，速度也快，棒棒的啊…下图是我用我的r9 p拍的，像素也特别棒，拍外景照片颜色鲜艳，成像速度快，自拍也不错，美颜功能做的相当好，很自然。还有当然大屏看视频，刷微博太爽了。音质，画面不错，微信分身功能很实用，内存够大，玩游戏妥妥的快呀！...缺点：暂时都正常，没有什么大毛病...总结：整体还不错，具体配置相信不用别人再做解释了，绝对算得上性价比很高的手机了，现在国产手机一点也不差，希望oppo继续努力，我会一如既往的支持的…...,美颜效果好
黑色的很漂亮，没想的国产手机也能做到这么好的品质，特别喜欢指纹解锁，超快，拍照效果也同样强大，唯一不足的地方就是赠品还没到,拍照效果好
黑色特酷，特经典，手感超级好，自己用过OPPO几款手机了，很好用，像素真的没得说，还有指纹也特别灵敏。 拍照比其他手机效果要好很多 充电速度超快一小时就充满了。 很好 没得说。 信号给力 黑色特酷，特经典，手感超级好，自己用过OPPO几款手机了，很好用，像素真的没得说，还有指纹也特别灵敏。,拍照效果好
很不错的手机，没看错OPPO。充电五分钟，通话两小时，真的是不错，很牛逼。拍照效果，很好，手感和质量都不错，非常喜欢，手机屏幕也足够大，还送了礼物,拍照效果好
质量不错 很相信京东 拍照效果也很好,拍照效果好
很不错的一款手机，外观很好看 音质也非常好，像素也不错拍出来效果挺好的，还送了很多赠品&hellip;&hellip;充电特别快，很喜欢,拍照效果好
很不错的手机，照相效果很好，速度快、很清晰,拍照效果好
很不错的一款手机，最主要是照相效果很好,拍照效果好
外观漂亮 很薄 照相效果特别好 声音很干净 暂时没发现缺点 京东快递超赞,拍照效果好
很纯正的中国红，红色里好像还加入了一些金色闪粉元素，红色中透着淡淡的金，很轻薄、手感很好！解锁很快，息屏秒解，系统很流畅，像素不错（前2张是r9s拍摄，后图全是iPhone6s），就是有些弱光环境中噪点很大！显示虽然细腻但还是看得到像素点！音质很不错，听音乐很爽，都能听到外放音腔里会共鸣！快递说的过去，付全款也没及时发货！体验中！,夜拍拍摄效果差
很好 很好 很好 很好 很好 用的超顺手！和朋友说都羡慕，主要是她们都买了苹果7和6s的，觉得自己花了大价钱但是功能方面不够我这好。一是拍照！色彩方面和把人景拍出来的效果三部手机中我的最好，这个有拿出来拍照互相比较一番！二是，我朋,拍照效果好
很好。速度快，很久没用国产机了！但是这个像素秒杀苹果，和某图有的比！拍照果然一流！,拍照效果好
很好，就是觉的没有我用的vivox7plus照相清楚，相片成像颜色有点灰灰的感觉，不亮堂,拍照模糊/不清晰
很好很强大，运行速度快，拍照很真实,拍照效果好
很好，屏够大，运行速度很快，拍照效果也好,拍照效果好
很好，声音清淅，拍照很美,拍照效果好
很好，手感非常好！样子也挺漂亮的，拍照比苹果的好看,拍照效果好
很好 非常给力 给老爸买的 很喜欢 送的东西还很多！感谢?！手机很不错无论是反应还是拍照都很棒！黑色也很耐看！还会关注的,拍照效果好
很好，送给妹妹的，很喜欢，拍照特别好，,拍照效果好
很好，早想要了，新年特别版，更有纪念意义，今年的生日礼物就是你OPPOR9s大爱！喜欢就不要错过啦！拍照很赞??,拍照效果好
很好，正品，很喜欢，送了很多宝贝，拍摄效果赞赞的,拍照效果好
手机收到了，很惊艳 等的我好心急啊，拍照效果不亚于美图手机！,拍照效果好
手机收到了了，很快，昨天付款今天就收到了！老板服务也很到位！很不错！送的礼品也很喜欢！给个赞！手机拍照也很理想！,拍照效果好
很满意的，用了一段时间，很快速度，照相很棒,拍照效果好
手机很好红色超好看拍照功能强大内存基本在2G左右使用玩王者不卡指纹识别很快触屏要重点点下去总体还行 冲电很快 电池比较耐用 音乐声音大,相机功能多/强
机器非常不错，黑色版本的看起来非常酷，指纹解锁的速度很快，机器很薄，屏幕效果也很赞，快充也很好用，拍照效果特别是前置摄像头的效果杠杠的，很值得入手。顺便说下京东的物流很快，凌晨下单，下午就到了。,拍照效果好
很好用的机器，拍照效果不错，处理速度很快,拍照效果好
机子果然不负众望，反应速度很快，系统很流畅，很稳定，安全系数在安卓手机中算很不错了，整个系统很接近ios ，而且做的比ios 更便捷，希望国产手机能再接再厉。手机重量很轻，比6s要轻，厚度要波，整体流线型非常顺手，触感不错，指纹解锁感应超快，无需完全接触，拍照前后摄像都很出色，色泽更透亮自然。,拍照效果好
速度很快，机子确实薄，拍照效果很好。就是充电头没改成新端口这个以后会有影响。,拍照效果好
发货很快 简直美哭了好么 我最爱的大红色 质感也非常好 比苹果轻很多 而且指纹解锁那是相当的快 拍照闪充都非常好 唯一的问题就是清晰度不高 总的来说句很不错 喜欢 表扬一下客服香香 很好哦,拍照效果好
简直太美太惊艳了！轻薄手感好，铝合金包边，包装细节，每一个细节的呈现都很完美。速度很快，指纹识别瞬间开机。真的不要再迷信iPhone 了。拍出来的照片也完全不输给iPhone。还送了蓝牙音箱和配套的包。非常完美。,拍照效果好
京东放心购，速度快，手机很好，很薄，速度很快，拍照很给力，全五星好评！！！,拍照效果好
京东物流真快，送货小哥认真负责，专门用了几天才来评价的，手机速度很快，反应灵敏，拍照也很漂亮，第一次买oppo手机，到目前位置各项功能都很满意！,拍照效果好
惊艳到我啦！从广告上看到视频一眼就喜欢上了。分辨率高，拍照出来效果很不错。速度很快，手感很好。反正我是很喜欢。新年正当红！你要不要来一款~,拍照效果好
纠结了好久才才下定决心买这款手机的，照相效果没的说，棒棒的，物流也很快，八号买的，10号就到了，用了两天才来评论的，,拍照效果好
手机还不错 就是我的经常容易卡 用电也很快 拍照功能挺不错的 手感也不错 国产机中的佼佼者,相机功能多/强
这款手机绝对是超赞，黑色也很大气（中关村在线安卓客户端）优点：与R7plUs比重量轻了，手感好了，运行流畅，下载，听歌，看电影等比上一部要强N倍，整体来说目前相当满意。部分黑科技很合理，用处很大，像打开手电筒，等等。拍照效果非常不错，像素很高，自拍很给力，美颜棒棒哒，后置摄像头成像效果显著，照片画质棒。指纹解锁灵敏，方便了，双击亮屏与熄屏在屏保状态下感觉不错，运行内存6G够大，机身内存64G也能满足了，黑色版真的不错，流畅至极，已下载很多软件，手机也大致研究了一通了，真在更深的研究...缺点：这个手机的截屏功能在下拉菜单里是没有的，我看了下说明书才学会了3指下拉的截屏方式...总结：试用非常不错，外观好看，有些功能非常不错，在9的基础上运行更加顺畅。oppo忠实粉丝，本机还自带微信分身app适合多开。...,拍照效果好
刻意用了半个月才来评价，以前用苹果，一直也担心换安卓习不习惯。但事实证明，超级好用，整机速度很快，拍照功能确实很强大，黑色版很高大上，关键很轻薄，不仅广告做的好，真机也是非常棒！,相机功能多/强
快过年了，给老婆买的新年礼物，老婆很满意，物流很快，宝贝也很好，反应很快，手感超级好，拍照功能很强大，电池充电很快，也很耐用，充满电可以用两天，真的是充电五分钟，通话两小时！！！oppoR9s就是强，手机中的霸王机！！！,相机功能多/强
老公用的是这手机，一直都觉得这个手机挺好的，想不到还有大红色，大红色控，毫不犹豫的下手了。以为要很久才能到货，想不到很快就到了。拿到手完全惊喜，大爱啊！颜色很正，红红火火的过大年啦！哈哈?！自己对拍照要求比较高，这手机满足了自己的要求。喜欢的朋友赶紧的吧！ps:2799（爱妻久久）！送礼的赶紧了哈！?,拍照效果好
"老婆一直用的iphone，这次一看到oppo新年红马上就吵着要买，手机入手用了几天感觉不错，轻薄，手机反应速度很快，拍照效果也不错，内存也大，这下小宝宝出生拍照就不愁内存了。有了oppo,iphone都躺旁边睡觉了?",拍照效果好
给妈妈买的礼物，妈妈很喜欢，颜色挺亮丽，速度也很快，拍照杠杠的，非常超值。,拍照效果好
物流超快的！两天就到了！很喜欢，外形好酷，运行很快，功能很强大，照相超美的，音质好，总体来说，物超所值！,拍照效果好
流畅性很好 充电很快 图片很清晰，拍照效果棒棒哒 很悦耳 5星服务,拍照效果好
"买到手后用了几天，还不错，对于我这种不玩游戏的，对电话要求是照相好看，内存大，听歌好听的人来说足够足够了，选择OPPOr9s最吸引我的就是拍照好看,充电很快，完全充满大约1小时，电池很耐用",拍照效果好
买回来后，我就试过手机的音质了，不管是外放还是耳机，品质都是一流，比我以前用的oppo7更上了一个档次！ 指纹解码很快，反应很灵敏！ 拍照效果就不用说了，像素和照片的质量，是达到高端相机的效果！ 客服很耐心，解答了我很多疑问，好商家，良心商家，以后买手机就定你这一家了！,拍照效果好
买了给我妈用的，特地等老太太用了几天才来评价，我妈说非常好用，她用起来感觉很便利，拍照也很棒，电池非常耐用，而且充电很快～我打算哪天也拿来自己用用感受下～,拍照效果好
卖家发货速度很快顺丰很给力！用的IP6plus，帮家里人买的这个，配置还可以，毕竟安卓系统也不像以前似的优化的不行，运行很流畅，由于是给家人买的没怎么深度体验，但是拍照很不错尤其前摄像头很给力的，比起iPhone只好不差！做工好，外观也漂亮！总之挺满意的！,拍照效果好
拍照很清晰 美颜效果很棒 音质还好吧 声音很大 喇叭在下面 有点不习惯 充电速度很快 超级喜欢 一会时间就冲满了 一天玩玩王者荣耀 消消乐 能到晚上 很好 信号不知道我还没放过手机卡,美颜效果好
手机很不错，妹妹很喜欢，尤其拍照漂亮，下面是拍的照片,拍照效果好
